Name,Age,Education,Employment,Income,Poverty Level
Kathy Dillon,21,Tertiary,Self-employed,104736,Above Poverty Line
John Watson,35,Secondary,Self-employed,706892,Above Poverty Line
Lisa Holland,69,Primary,Unemployed,10474,Middle Class
Erin Baldwin,55,Secondary,Unemployed,8316,Below Poverty Line
Michael Porter,43,Tertiary,Self-employed,382330,Above Poverty Line
Lisa Gilbert,59,Primary,Self-employed,79711,Middle Class
Billy Andrade,63,Secondary,Employed,335373,Above Poverty Line
Jamie Webb,61,Primary,Self-employed,25497,Middle Class
Don Cameron,44,Tertiary,Self-employed,882600,Above Poverty Line
Diane Roberson,51,Tertiary,Employed,902316,Above Poverty Line
Kimberly Hopkins,39,Secondary,Unemployed,15025,Middle Class
Matthew Ward,84,No Education,Self-employed,439526,Above Poverty Line
Trevor Griffin,49,No Education,Unemployed,10274,Middle Class
Andrew Hill,20,Primary,Unemployed,6467,Below Poverty Line
Nathan Morrow,64,Tertiary,Self-employed,344046,Above Poverty Line
Daniel Kennedy,29,Tertiary,Employed,434848,Above Poverty Line
Nicole Obrien,79,No Education,Employed,671623,Above Poverty Line
Dr. Jennifer Nguyen,46,Secondary,Self-employed,468368,Above Poverty Line
James Oneal,69,Secondary,Self-employed,95524,Middle Class
Vincent Zuniga,28,Secondary,Self-employed,375550,Above Poverty Line
Matthew Ford,18,Primary,Unemployed,5592,Below Poverty Line
Cathy Johnson,40,Tertiary,Unemployed,9053,Below Poverty Line
Christopher Rose,71,Primary,Unemployed,7656,Below Poverty Line
Adam Baxter,63,Tertiary,Self-employed,982305,Above Poverty Line
Laura Gould,29,No Education,Self-employed,545089,Above Poverty Line
Carol Brooks,36,Primary,Employed,602093,Above Poverty Line
Kevin Davis,29,Primary,Self-employed,726214,Above Poverty Line
Mark Diaz,40,Tertiary,Employed,756272,Above Poverty Line
Brandi Myers,41,Secondary,Employed,25036,Middle Class
Joshua Tyler,27,Tertiary,Employed,923973,Above Poverty Line
Jessica Warner,39,Primary,Unemployed,5335,Below Poverty Line
Heather Ferrell,83,Secondary,Self-employed,97256,Middle Class
Stacey White,41,Primary,Self-employed,621428,Above Poverty Line
John Lee,45,No Education,Unemployed,11673,Middle Class
Kurt Greer,76,Tertiary,Employed,809815,Above Poverty Line
Brittney Cole,51,Secondary,Unemployed,10694,Middle Class
Stephanie Ryan,33,Primary,Unemployed,11808,Middle Class
Joseph Jones,65,Tertiary,Self-employed,440285,Above Poverty Line
Mr. James Parks,36,Secondary,Unemployed,17722,Middle Class
Johnathan Dixon,30,Primary,Self-employed,124123,Above Poverty Line
Katie Jackson,30,Secondary,Unemployed,3911,Below Poverty Line
Jordan Hernandez,47,Secondary,Unemployed,10171,Middle Class
Ian Wells,87,Secondary,Unemployed,17569,Middle Class
Ronnie Diaz,53,Primary,Self-employed,837725,Above Poverty Line
Jared Mitchell,52,Primary,Employed,211490,Above Poverty Line
Joel Strickland,51,Primary,Unemployed,8825,Below Poverty Line
John Pace,39,No Education,Self-employed,915315,Above Poverty Line
Tracy Johnson,65,Tertiary,Employed,94568,Middle Class
Melissa Johnson,83,Primary,Unemployed,8841,Below Poverty Line
Tiffany Perez,62,Tertiary,Self-employed,917260,Above Poverty Line
Andrew Duncan,79,No Education,Unemployed,3700,Below Poverty Line
Patrick Harper,30,Primary,Unemployed,13667,Middle Class
Valerie Rivera,82,Primary,Employed,242815,Above Poverty Line
Mrs. Laurie Davis,81,No Education,Self-employed,41091,Middle Class
Jill Dickson,86,Tertiary,Employed,583113,Above Poverty Line
Lori Fowler,51,Secondary,Self-employed,50829,Middle Class
Eric White,67,Tertiary,Self-employed,330414,Above Poverty Line
Anthony Rodriguez,33,Primary,Unemployed,8658,Below Poverty Line
Jessica Villa,83,Tertiary,Unemployed,13640,Middle Class
Jonathan Lin,70,Secondary,Self-employed,141775,Above Poverty Line
Pamela Mullins,57,Secondary,Employed,694013,Above Poverty Line
Steve Davis,75,No Education,Unemployed,5303,Below Poverty Line
Pam Davis,52,No Education,Employed,653502,Above Poverty Line
Michelle Ruiz,50,Secondary,Self-employed,561909,Above Poverty Line
Melissa Barnes MD,35,No Education,Unemployed,10977,Middle Class
Jason Young,58,Tertiary,Employed,438554,Above Poverty Line
Christopher Potter,59,Primary,Employed,320147,Above Poverty Line
Diana Rivera,78,No Education,Self-employed,425247,Above Poverty Line
Penny Campos,46,No Education,Unemployed,7016,Below Poverty Line
Eric Jones,19,Tertiary,Employed,798431,Above Poverty Line
Elizabeth Gonzales,49,No Education,Self-employed,707809,Above Poverty Line
Bruce Burns,21,No Education,Unemployed,12679,Middle Class
Noah Harmon,39,Primary,Employed,685333,Above Poverty Line
Scott Adams,27,Primary,Self-employed,714884,Above Poverty Line
James Whitaker,52,Primary,Self-employed,994145,Above Poverty Line
Erika Wade,76,No Education,Employed,834590,Above Poverty Line
Cassandra Hansen,31,No Education,Employed,599171,Above Poverty Line
Richard Phillips,34,Secondary,Self-employed,405280,Above Poverty Line
Lisa Sexton,78,Primary,Self-employed,465613,Above Poverty Line
Christopher Taylor PhD,23,Tertiary,Self-employed,45136,Middle Class
Rachel Anderson,31,No Education,Unemployed,3522,Below Poverty Line
Madison Edwards,37,Secondary,Self-employed,511253,Above Poverty Line
Ronald Blevins,52,Secondary,Unemployed,7209,Below Poverty Line
Tony Lewis,30,Secondary,Self-employed,701798,Above Poverty Line
Erik Garcia,18,Secondary,Self-employed,848459,Above Poverty Line
Lisa Lamb,26,Tertiary,Employed,978354,Above Poverty Line
Marilyn Brewer,53,Primary,Employed,878317,Above Poverty Line
Jennifer Wilson,71,Tertiary,Self-employed,505498,Above Poverty Line
Austin Sawyer,44,Primary,Unemployed,5733,Below Poverty Line
Dr. Brandon Snyder,52,Tertiary,Self-employed,218960,Above Poverty Line
Donna Garza,63,Secondary,Unemployed,9869,Below Poverty Line
Vincent Tapia,29,Secondary,Self-employed,198875,Above Poverty Line
Gregory Young,66,Secondary,Employed,561013,Above Poverty Line
Sabrina Scott,35,Primary,Employed,511504,Above Poverty Line
Kim Miller,58,Primary,Employed,933362,Above Poverty Line
Jasmine Bell,56,Tertiary,Unemployed,8264,Below Poverty Line
Kendra Johnson,32,Primary,Employed,845408,Above Poverty Line
Casey Graves,82,Tertiary,Employed,308025,Above Poverty Line
Laurie Murray,74,Tertiary,Self-employed,133165,Above Poverty Line
William Johnson,19,Primary,Unemployed,8275,Below Poverty Line
Stephanie Carr,47,Primary,Unemployed,9006,Below Poverty Line
Matthew Morales,18,Tertiary,Self-employed,945766,Above Poverty Line
Dawn Huffman,66,Secondary,Employed,907141,Above Poverty Line
Kimberly Berger,66,No Education,Employed,575590,Above Poverty Line
Angela Rodriguez,57,Secondary,Self-employed,323695,Above Poverty Line
Shawn Powers,71,Primary,Employed,743796,Above Poverty Line
Timothy Turner,78,No Education,Self-employed,143800,Above Poverty Line
Lisa James,80,Primary,Unemployed,13389,Middle Class
Nathan Bowman,52,Tertiary,Unemployed,16683,Middle Class
Carlos Hayes,27,Primary,Self-employed,294174,Above Poverty Line
Daniel Warren,86,Secondary,Unemployed,10779,Middle Class
Renee Moody,18,Primary,Self-employed,573299,Above Poverty Line
Diana Murray,71,No Education,Self-employed,265714,Above Poverty Line
Julie Pearson,71,Secondary,Unemployed,9623,Below Poverty Line
Carly Wolf,45,Primary,Self-employed,680186,Above Poverty Line
Crystal Taylor,63,Tertiary,Employed,139378,Above Poverty Line
Cynthia Welch,44,No Education,Unemployed,12586,Middle Class
Jill Bryan,34,No Education,Unemployed,11492,Middle Class
Leslie Perez,77,Tertiary,Employed,453674,Above Poverty Line
Tim Salinas,62,Secondary,Unemployed,5628,Below Poverty Line
Christopher Swanson,40,Tertiary,Employed,290662,Above Poverty Line
Judith Wagner,71,Tertiary,Unemployed,9011,Below Poverty Line
Rhonda Duncan,32,Secondary,Employed,266010,Above Poverty Line
Joshua Howard,77,Primary,Employed,56078,Middle Class
Ms. Theresa Hudson,58,Secondary,Unemployed,12424,Middle Class
William Smith,47,Tertiary,Self-employed,959024,Above Poverty Line
David Morton,72,Primary,Employed,539824,Above Poverty Line
Natasha Clark,64,Tertiary,Employed,460884,Above Poverty Line
Samuel Garrett,56,Primary,Employed,737944,Above Poverty Line
Kimberly Bullock,45,Tertiary,Self-employed,864310,Above Poverty Line
Daniel Graves,62,Secondary,Self-employed,270108,Above Poverty Line
Jill Williams,86,Primary,Unemployed,14867,Middle Class
Virginia Ortiz,33,Primary,Employed,506914,Above Poverty Line
Eric Boone,83,No Education,Self-employed,226300,Above Poverty Line
Julia Chavez,22,No Education,Self-employed,210963,Above Poverty Line
Jesse Ferrell,18,Primary,Self-employed,678667,Above Poverty Line
Sarah Golden,59,No Education,Self-employed,328250,Above Poverty Line
Adam Allen,22,No Education,Self-employed,436530,Above Poverty Line
Gabriel Flores,65,Tertiary,Unemployed,5902,Below Poverty Line
Stacy Lopez,76,Primary,Employed,647399,Above Poverty Line
Kathleen Hooper,26,No Education,Unemployed,7706,Below Poverty Line
Melissa Tucker,42,Secondary,Unemployed,904,Below Poverty Line
Andrew Blair,58,No Education,Employed,489921,Above Poverty Line
David Ayala,50,Primary,Unemployed,7368,Below Poverty Line
James May,85,Secondary,Self-employed,41986,Middle Class
Nicole Cherry,48,Secondary,Employed,462378,Above Poverty Line
Melinda Nguyen,33,Tertiary,Employed,984936,Above Poverty Line
William Brown,21,Secondary,Unemployed,11080,Middle Class
Allen Morse,28,Primary,Self-employed,224912,Above Poverty Line
Amanda Jones,20,Secondary,Unemployed,7332,Below Poverty Line
Robert Howell,55,Secondary,Unemployed,18483,Middle Class
Robert Andrews,46,Tertiary,Unemployed,1631,Below Poverty Line
Amber Wiley,83,Primary,Unemployed,8668,Below Poverty Line
Gregory Mills,79,No Education,Self-employed,647832,Above Poverty Line
James Smith,85,Primary,Employed,439877,Above Poverty Line
Charles Steele,53,Tertiary,Employed,69729,Middle Class
Michael Williams,48,No Education,Unemployed,10771,Middle Class
Sandra Johns,24,No Education,Unemployed,8606,Below Poverty Line
Tracy Conrad,73,Secondary,Employed,804790,Above Poverty Line
Lisa Holmes,32,Tertiary,Employed,437370,Above Poverty Line
Megan Kelly,66,No Education,Employed,215645,Above Poverty Line
Jacob Ward,21,Secondary,Unemployed,11400,Middle Class
Julia Barnes,82,Primary,Self-employed,108718,Above Poverty Line
Katie Martin,26,Primary,Self-employed,75574,Middle Class
Scott Smith,36,Secondary,Employed,91786,Middle Class
Willie Robertson,39,Tertiary,Employed,523142,Above Poverty Line
Susan Griffith,45,Secondary,Self-employed,944497,Above Poverty Line
Derrick Little,85,Primary,Unemployed,4956,Below Poverty Line
Robert Davenport,32,No Education,Employed,691583,Above Poverty Line
Ashley Wong,39,No Education,Self-employed,268502,Above Poverty Line
Richard Robbins,18,Tertiary,Employed,667308,Above Poverty Line
Jessica Smith,23,Tertiary,Employed,121459,Above Poverty Line
Keith Guzman,42,Secondary,Employed,518701,Above Poverty Line
Kristopher Smith,26,Secondary,Self-employed,849955,Above Poverty Line
Cynthia Baker,66,Tertiary,Employed,796459,Above Poverty Line
Dr. Charles Lane,27,Tertiary,Employed,656227,Above Poverty Line
Tina Lopez,67,Tertiary,Employed,217669,Above Poverty Line
Christine Johnson,34,No Education,Employed,728620,Above Poverty Line
Aaron Crane,52,Tertiary,Unemployed,15224,Middle Class
Heather Fletcher,77,Tertiary,Unemployed,8557,Below Poverty Line
Jamie Wood,27,Primary,Self-employed,168039,Above Poverty Line
Candace Collins,70,No Education,Employed,229765,Above Poverty Line
Jennifer Blake,23,Secondary,Self-employed,82064,Middle Class
Angela Thompson,76,No Education,Self-employed,666011,Above Poverty Line
Paul Rosales,33,Primary,Self-employed,715193,Above Poverty Line
Tina Harris,60,Tertiary,Employed,97621,Middle Class
Steven Benitez,80,Secondary,Unemployed,10075,Middle Class
Jill Tucker,54,Primary,Employed,426968,Above Poverty Line
Dennis Holmes,63,No Education,Self-employed,869077,Above Poverty Line
Brandon Schwartz,63,No Education,Self-employed,234906,Above Poverty Line
Carolyn Washington DDS,77,Primary,Self-employed,936835,Above Poverty Line
Kari Flores,64,No Education,Employed,318721,Above Poverty Line
Tammy Garcia,71,Tertiary,Employed,466271,Above Poverty Line
Ronald Brooks,60,Primary,Unemployed,14176,Middle Class
Shane Werner,45,Tertiary,Employed,207751,Above Poverty Line
Justin Shepherd,32,No Education,Employed,648428,Above Poverty Line
Jon Garcia,82,No Education,Unemployed,11909,Middle Class
David Hill,36,Secondary,Self-employed,754263,Above Poverty Line
Michael Kirby,83,Tertiary,Unemployed,5601,Below Poverty Line
Erin Dennis,27,No Education,Self-employed,462981,Above Poverty Line
Crystal Brown,40,No Education,Employed,20714,Middle Class
Mary Patrick,42,Secondary,Employed,324074,Above Poverty Line
Robert Mayer,66,Primary,Employed,720390,Above Poverty Line
Jessica Alvarado,59,Secondary,Employed,487258,Above Poverty Line
Andrew Davis,72,Primary,Unemployed,13191,Middle Class
Mark Payne,25,No Education,Unemployed,11284,Middle Class
Louis Hamilton,50,Tertiary,Employed,935740,Above Poverty Line
Michael Young,63,No Education,Unemployed,13019,Middle Class
Leah Smith,31,Primary,Employed,298358,Above Poverty Line
Bryan Norman,83,Primary,Self-employed,918126,Above Poverty Line
Derek Dunn,66,Tertiary,Employed,556235,Above Poverty Line
Kathleen Faulkner,68,Secondary,Self-employed,417264,Above Poverty Line
Miranda Johnson,57,No Education,Unemployed,8552,Below Poverty Line
Debbie Martin,39,Tertiary,Self-employed,33892,Middle Class
Justin King,29,Primary,Self-employed,719523,Above Poverty Line
Charles Romero,50,No Education,Unemployed,9901,Below Poverty Line
Eduardo Melendez,55,No Education,Employed,900744,Above Poverty Line
Joyce Thomas,30,Tertiary,Self-employed,591399,Above Poverty Line
Rhonda Moore,28,Primary,Employed,105944,Above Poverty Line
Andrew Klein,76,No Education,Self-employed,125493,Above Poverty Line
Shane Johnson,37,No Education,Unemployed,9809,Below Poverty Line
Randy Bell,80,No Education,Self-employed,889062,Above Poverty Line
Gary Acevedo,19,Secondary,Unemployed,9092,Below Poverty Line
Christine Anderson,83,Tertiary,Unemployed,8299,Below Poverty Line
Dennis Collins,86,No Education,Employed,176497,Above Poverty Line
Michelle Young,24,Tertiary,Unemployed,12026,Middle Class
Joseph Ramsey,79,Secondary,Employed,952180,Above Poverty Line
Charles James,31,Secondary,Self-employed,63193,Middle Class
Jessica Sellers,22,Secondary,Employed,111581,Above Poverty Line
William Medina,77,Secondary,Employed,43559,Middle Class
Kathleen Ellison,81,Tertiary,Employed,300613,Above Poverty Line
George Gutierrez,73,No Education,Unemployed,10168,Middle Class
Rose Valdez,44,Tertiary,Employed,640111,Above Poverty Line
Daniel Lynn,28,No Education,Employed,744059,Above Poverty Line
Cathy Lopez,85,No Education,Unemployed,9811,Below Poverty Line
David Walls,86,Tertiary,Unemployed,8606,Below Poverty Line
Richard King,43,No Education,Unemployed,6420,Below Poverty Line
Brianna Shaw,77,Secondary,Self-employed,928520,Above Poverty Line
Lauren Mendoza,81,Secondary,Employed,211294,Above Poverty Line
Eric Lloyd,24,Primary,Employed,475264,Above Poverty Line
Jennifer Riley,55,Secondary,Self-employed,93371,Middle Class
Dennis Riddle,84,Secondary,Employed,731839,Above Poverty Line
Bridget Wilson,24,No Education,Self-employed,572910,Above Poverty Line
Aaron Sanchez,43,Primary,Employed,955727,Above Poverty Line
Kyle Bishop,44,No Education,Unemployed,14394,Middle Class
Danielle Meyer,71,Tertiary,Self-employed,79433,Middle Class
William Singh,65,Secondary,Employed,736403,Above Poverty Line
Jeffrey White,78,Primary,Self-employed,348850,Above Poverty Line
Lisa Smith,39,Secondary,Self-employed,636727,Above Poverty Line
Christine Mitchell,48,Tertiary,Employed,791779,Above Poverty Line
David Holloway,86,Primary,Employed,913222,Above Poverty Line
John Olsen,23,No Education,Employed,339777,Above Poverty Line
Robert Vargas,28,Tertiary,Self-employed,956682,Above Poverty Line
Shelly Schroeder,51,Tertiary,Self-employed,557470,Above Poverty Line
Peter Decker,47,No Education,Self-employed,417664,Above Poverty Line
James Arnold,76,Primary,Employed,106611,Above Poverty Line
William Higgins,79,Secondary,Unemployed,9304,Below Poverty Line
Katelyn Charles,42,Tertiary,Employed,268933,Above Poverty Line
Cheyenne Clark,35,Primary,Self-employed,248868,Above Poverty Line
Brandon Burns,53,Primary,Self-employed,491939,Above Poverty Line
Daniel Lewis,67,Secondary,Self-employed,91943,Middle Class
Bryan Carter,70,No Education,Self-employed,542252,Above Poverty Line
Brian Wright,54,No Education,Employed,749658,Above Poverty Line
Isaac Barrett,21,Primary,Self-employed,95516,Middle Class
Mary Nguyen MD,64,Secondary,Unemployed,4348,Below Poverty Line
Michael Hicks,27,Secondary,Self-employed,598154,Above Poverty Line
Jesse Nguyen,65,No Education,Self-employed,773156,Above Poverty Line
Jay Edwards,81,No Education,Self-employed,468139,Above Poverty Line
Kimberly James,60,No Education,Self-employed,263922,Above Poverty Line
Ashley Davis,25,No Education,Self-employed,206785,Above Poverty Line
Erica Cuevas,24,No Education,Unemployed,13499,Middle Class
Jennifer Ramsey,26,Secondary,Employed,741656,Above Poverty Line
Anthony Byrd,34,Secondary,Unemployed,7264,Below Poverty Line
Kimberly Wu,73,Primary,Self-employed,15169,Middle Class
Jennifer Anderson,38,Tertiary,Unemployed,7595,Below Poverty Line
Timothy Harper,21,Primary,Self-employed,257724,Above Poverty Line
Rebecca Watson,44,No Education,Employed,295373,Above Poverty Line
Patrick Meadows,32,Secondary,Self-employed,771052,Above Poverty Line
Alyssa Sanchez,53,Secondary,Employed,478318,Above Poverty Line
Catherine Stephens,67,Secondary,Unemployed,13717,Middle Class
Denise Pearson,64,Primary,Employed,378414,Above Poverty Line
Rhonda Smith,62,No Education,Unemployed,13637,Middle Class
Kimberly Gutierrez,54,Primary,Unemployed,6050,Below Poverty Line
Richard Perez,38,Secondary,Employed,241359,Above Poverty Line
Victoria Carr,87,Primary,Self-employed,588103,Above Poverty Line
Kayla Murphy,43,Primary,Unemployed,7141,Below Poverty Line
Jennifer Hampton,84,Tertiary,Self-employed,279005,Above Poverty Line
Kayla Gilbert,73,Primary,Employed,619801,Above Poverty Line
Jeffrey Robinson,63,Secondary,Self-employed,462588,Above Poverty Line
Christine Herman,44,Secondary,Employed,352523,Above Poverty Line
Christine Smith,28,No Education,Unemployed,9514,Below Poverty Line
Susan Black,52,Primary,Unemployed,7582,Below Poverty Line
Stephanie Henry,28,No Education,Employed,585890,Above Poverty Line
Alyssa Powell,79,Tertiary,Unemployed,14057,Middle Class
Leslie Chandler,72,Primary,Employed,113065,Above Poverty Line
Misty Ross,63,Secondary,Self-employed,891914,Above Poverty Line
Trevor Olson,84,Secondary,Self-employed,644890,Above Poverty Line
Andrea Nunez,49,Secondary,Employed,254896,Above Poverty Line
Lydia Lewis,69,Secondary,Employed,581820,Above Poverty Line
Barbara Cochran,59,Primary,Unemployed,12573,Middle Class
Ricardo Garrison,23,Primary,Unemployed,2886,Below Poverty Line
Jake Thompson,30,Primary,Employed,851574,Above Poverty Line
Eric Sandoval,27,Primary,Employed,802021,Above Poverty Line
Bradley Davis,85,Tertiary,Employed,677074,Above Poverty Line
Mark Santana,57,Primary,Unemployed,3984,Below Poverty Line
Clifford Austin,37,Tertiary,Self-employed,634349,Above Poverty Line
Karen Carter,21,Primary,Unemployed,9174,Below Poverty Line
Michael Wells,72,No Education,Self-employed,965989,Above Poverty Line
Brittany Boyer,63,No Education,Employed,989635,Above Poverty Line
George Blankenship,50,No Education,Unemployed,11790,Middle Class
Annette Johnson,81,Tertiary,Employed,965808,Above Poverty Line
Devin Brown,20,Tertiary,Self-employed,207997,Above Poverty Line
Justin Wright,66,Tertiary,Unemployed,5399,Below Poverty Line
Hunter Fisher,28,Primary,Self-employed,838521,Above Poverty Line
William Adams,21,Primary,Employed,964215,Above Poverty Line
Christopher Brown,56,Primary,Self-employed,698058,Above Poverty Line
Jordan Moran,21,Primary,Employed,112854,Above Poverty Line
Patrick Turner,37,No Education,Employed,653161,Above Poverty Line
Tasha Vaughan,35,Tertiary,Unemployed,15557,Middle Class
Melanie Evans,84,No Education,Self-employed,383921,Above Poverty Line
Kelly Erickson,87,Primary,Self-employed,358790,Above Poverty Line
Jonathan Simon,44,Tertiary,Employed,487007,Above Poverty Line
Daniel Johnson,25,No Education,Unemployed,3960,Below Poverty Line
Marc Pierce,31,Primary,Unemployed,8370,Below Poverty Line
Alyssa Beltran,22,No Education,Self-employed,882529,Above Poverty Line
Joshua Henry,65,No Education,Self-employed,602157,Above Poverty Line
Mark Bryant,18,No Education,Unemployed,7759,Below Poverty Line
James Little,68,No Education,Self-employed,34183,Middle Class
Bradley Clayton,29,Tertiary,Employed,302884,Above Poverty Line
Thomas Lucas,59,No Education,Self-employed,112155,Above Poverty Line
Cassidy Chapman,53,Primary,Employed,377047,Above Poverty Line
John Colon,36,Primary,Self-employed,455611,Above Poverty Line
Andrew Delgado,38,Secondary,Employed,647255,Above Poverty Line
Amy Anderson,72,Primary,Self-employed,390174,Above Poverty Line
Kristin Guerrero,32,Primary,Employed,197972,Above Poverty Line
Ms. Sarah Reed,74,Primary,Self-employed,98163,Middle Class
James Young,54,No Education,Unemployed,8686,Below Poverty Line
Emily Brooks,36,Secondary,Employed,168307,Above Poverty Line
Taylor Klein,32,Primary,Unemployed,9654,Below Poverty Line
Susan Bates,46,Secondary,Self-employed,999357,Above Poverty Line
Heather Miller,24,Tertiary,Self-employed,18807,Middle Class
Theresa Baker,82,No Education,Employed,125464,Above Poverty Line
Casey Williams,59,Secondary,Unemployed,4895,Below Poverty Line
Michelle Thomas,57,Primary,Employed,481085,Above Poverty Line
John Thompson,66,Tertiary,Employed,942231,Above Poverty Line
Robert Adams,84,Primary,Employed,289634,Above Poverty Line
Lori Perry,26,Tertiary,Unemployed,1534,Below Poverty Line
Charles Gray,60,Secondary,Employed,1008463,Above Poverty Line
Angela Graves,64,Tertiary,Self-employed,325400,Above Poverty Line
Carlos Jenkins,42,Primary,Self-employed,473573,Above Poverty Line
Patricia Richardson,73,Tertiary,Employed,637328,Above Poverty Line
Dustin Juarez,43,Primary,Employed,806215,Above Poverty Line
Jim Decker,21,Tertiary,Self-employed,490555,Above Poverty Line
Steven Hall,46,Primary,Self-employed,134444,Above Poverty Line
Aaron Rojas,51,Secondary,Unemployed,7386,Below Poverty Line
John Ford,59,No Education,Self-employed,738139,Above Poverty Line
Nicholas Lopez,64,Primary,Self-employed,477537,Above Poverty Line
William Adams,40,No Education,Unemployed,9927,Below Poverty Line
Angela Espinoza,69,Primary,Self-employed,617242,Above Poverty Line
Lisa Schaefer,34,Primary,Self-employed,801006,Above Poverty Line
Danielle Potter,65,Tertiary,Unemployed,9485,Below Poverty Line
Jennifer Thompson,50,Secondary,Employed,363889,Above Poverty Line
Amber Newman,53,Secondary,Employed,562296,Above Poverty Line
Lisa Steele,70,Primary,Employed,748296,Above Poverty Line
Christopher Long,36,Tertiary,Employed,517609,Above Poverty Line
Susan Rivas,65,Tertiary,Self-employed,467757,Above Poverty Line
Richard Donaldson,65,Tertiary,Employed,399659,Above Poverty Line
Barbara Lambert,56,No Education,Unemployed,9665,Below Poverty Line
Bonnie Rodriguez,52,Secondary,Employed,268390,Above Poverty Line
Gary Robinson,50,Secondary,Employed,740597,Above Poverty Line
Mackenzie Reed,75,Secondary,Employed,146797,Above Poverty Line
Susan Murphy DDS,64,Tertiary,Self-employed,670857,Above Poverty Line
Melinda Conley,23,No Education,Unemployed,9082,Below Poverty Line
Amy Gilbert,26,Tertiary,Employed,321220,Above Poverty Line
Michelle Thomas,52,No Education,Unemployed,11808,Middle Class
Jacqueline Burnett,20,Primary,Employed,182811,Above Poverty Line
Leslie Johnson,72,Primary,Unemployed,12901,Middle Class
Raymond Jackson,38,Secondary,Unemployed,15061,Middle Class
Anita Riley,42,Secondary,Unemployed,6194,Below Poverty Line
Jonathan Rodriguez,64,Secondary,Unemployed,7531,Below Poverty Line
Justin Williams,73,Primary,Employed,85464,Middle Class
David Logan,78,Secondary,Employed,491490,Above Poverty Line
Wayne Reyes,49,Tertiary,Unemployed,2964,Below Poverty Line
Gabriella Ward,27,Secondary,Self-employed,841442,Above Poverty Line
Sheila Espinoza,73,No Education,Employed,280246,Above Poverty Line
Dawn Carrillo,78,No Education,Employed,309963,Above Poverty Line
Brian Owens,81,Tertiary,Self-employed,436519,Above Poverty Line
David Sims,82,Primary,Unemployed,17552,Middle Class
Antonio Andrews,20,Secondary,Employed,522031,Above Poverty Line
Brian Robinson,80,Primary,Unemployed,5960,Below Poverty Line
Julie Holden,67,Tertiary,Unemployed,11287,Middle Class
Adam Bradley,38,Secondary,Unemployed,11097,Middle Class
Gary Taylor,21,No Education,Unemployed,7986,Below Poverty Line
Donald Harris,36,Primary,Unemployed,13689,Middle Class
Richard Henderson,54,No Education,Self-employed,570349,Above Poverty Line
James Williams DVM,65,Primary,Employed,191782,Above Poverty Line
Amanda Smith,42,Tertiary,Self-employed,822670,Above Poverty Line
Cynthia Hendricks,79,No Education,Self-employed,868601,Above Poverty Line
Greg Craig,32,Tertiary,Employed,942159,Above Poverty Line
Gary Charles,78,Tertiary,Employed,530886,Above Poverty Line
Mikayla Farley,62,Secondary,Self-employed,355084,Above Poverty Line
Erik Ball,57,Primary,Unemployed,5344,Below Poverty Line
Julie Pratt,78,No Education,Employed,291396,Above Poverty Line
Paul Elliott,43,Primary,Employed,706151,Above Poverty Line
Tara Craig,18,Primary,Self-employed,90425,Middle Class
Ryan Jones,69,Primary,Unemployed,7089,Below Poverty Line
Kendra Taylor,46,Secondary,Self-employed,218451,Above Poverty Line
Cheryl Rojas,82,Tertiary,Unemployed,9928,Below Poverty Line
Thomas Andrews,79,Secondary,Employed,310467,Above Poverty Line
David Marks,39,Tertiary,Employed,77096,Middle Class
Jessica Moran,52,Primary,Self-employed,538441,Above Poverty Line
Jeffrey Gibbs MD,87,Tertiary,Unemployed,6422,Below Poverty Line
Melissa Bernard,39,Primary,Self-employed,217368,Above Poverty Line
Janet Williams,45,Secondary,Self-employed,857100,Above Poverty Line
Sara Moon,77,Secondary,Self-employed,193500,Above Poverty Line
Fred Reyes,39,Secondary,Unemployed,10522,Middle Class
Amber Taylor,22,Secondary,Self-employed,264587,Above Poverty Line
Jennifer Buck,62,Primary,Self-employed,262594,Above Poverty Line
Stephanie Castillo,40,No Education,Employed,659000,Above Poverty Line
Kaitlyn Reed,41,Secondary,Employed,774053,Above Poverty Line
Catherine Riley,57,Secondary,Unemployed,10166,Middle Class
Victoria Wilcox,72,No Education,Employed,723918,Above Poverty Line
Jacqueline Valenzuela,65,Tertiary,Unemployed,12801,Middle Class
Edward Tran,72,Tertiary,Unemployed,9085,Below Poverty Line
Stacy Jenkins,42,Primary,Self-employed,21436,Middle Class
Natasha Martin,56,Secondary,Employed,205943,Above Poverty Line
Gina Lee,26,No Education,Self-employed,755112,Above Poverty Line
Dr. Nicole Garcia,77,Tertiary,Employed,695250,Above Poverty Line
Russell Simmons,59,No Education,Self-employed,432389,Above Poverty Line
Jared Wong,33,No Education,Self-employed,328801,Above Poverty Line
Gary Anderson,29,No Education,Self-employed,276586,Above Poverty Line
Christopher Simmons,46,Secondary,Unemployed,12902,Middle Class
Scott Davidson,30,No Education,Self-employed,347445,Above Poverty Line
Stephanie Lara,46,Tertiary,Employed,752320,Above Poverty Line
Regina Brown,52,Primary,Unemployed,13642,Middle Class
Collin Boone,64,Secondary,Employed,554322,Above Poverty Line
Tracie Rivera,54,No Education,Employed,133875,Above Poverty Line
Philip Watson,25,No Education,Employed,926068,Above Poverty Line
Peter Villanueva,44,Secondary,Self-employed,111512,Above Poverty Line
Andrew Kelley,70,Tertiary,Employed,331848,Above Poverty Line
